OBJECTID,old_dam_name,osm_name,distance_m,Latitude,Longitude
11693,Low-Head Dam (22088),Troy Mills Dam,5.7,42.28828349,-91.68264083
11695,Low-Head Dam (18538),Gardy's Millpond Dam,32.9,38.00150896,-76.60214664
11731,Low-Head Dam (18334),Rockdale Dam,4.5,39.89093193,-75.43058438
11732,Low-Head Dam (18346),Barryton Dam,20.1,43.746448,-85.140657
11750,Low-Head Dam (20714),Ripley Mills Dam,0.2,43.60293438,-72.99768462
11755,Low-Head Dam (18547),Glen Gery Dam,4.6,40.43909077,-75.9254606
11756,Low-Head Dam (18542),Blakemore Mill Dam,4.7,36.60699267,-83.57654906
11797,Low-Head Dam (18378),Holloway Dam,25.0,43.1201,-83.493411
11806,Low-Head Dam (19959),Old Zoar Dam Debris - RM 68.9,8.4,40.6115,-81.4289
11809,Low-Head Dam (19965),Ivex Corporation Lower Lake Dam,4.8,41.4352,-81.3851
11947,Low-Head Dam (14633),Rensselaer Dam #1,0.2,42.63419826,-73.73688251
11951,Low-Head Dam (23796),Lake Powhatan Dam,4.2,35.48289,-82.6238
11954,Low-Head Dam (18470),Cliftons Pond Dam,9.4,36.00106,-78.3456
11957,Low-Head Dam (23819),Altamahaw Dam,20.9,36.18252,-79.511
11996,Low-Head Dam (16123),Seven Step Dam,1.2,40.35943389,-75.87012311
12069,Low-Head Dam (20183),Fargo 12th Avenue Dam,21.9,46.89096,-96.77116
12071,Low-Head Dam (20186),Lower Saint Anthony Falls Dam,29.1,44.97952031,-93.24751043
12075,Low-Head Dam (20996),New England Power Company Dam Number 2,23.3,42.57323146,-72.70645803
12076,Low-Head Dam (20994),New England Power Number 4 Dam,19.2,42.61997945,-72.74522078
12077,Low-Head Dam (21009),Strathmore Paper Company Dam,15.4,42.09898791,-72.64772184
12119,Low-Head Dam (14560),Culbertson Dam,46.5,40.36160454,-101.102982
12128,Low-Head Dam (20199),Soldier Lake Dam,45.2,39.0811,-76.7319
12151,Low-Head Dam (24239),Valley City Park Dam,0.7,46.91591,-98.0099
12215,Low-Head Dam (14640),High Shoals Dam,11.5,33.81774,-83.5058
